Time (h),Aeration rate(Fg:L/h),Agitator RPM(RPM:RPM),Sugar feed rate(Fs:L/h),Acid flow rate(Fa:L/h),Base flow rate(Fb:L/h),Heating/cooling water flow rate(Fc:L/h),Heating water flow rate(Fh:L/h),Water for injection/dilution(Fw:L/h),Air head pressure(pressure:bar),Dumped broth flow(Fremoved:L/h),Substrate concentration(S:g/L),Dissolved oxygen concentration(DO2:mg/L),Penicillin concentration(P:g/L),Vessel Volume(V:L),Vessel Weight(Wt:Kg),pH(pH:pH),Temperature(T:K),Generated heat(Q:kJ),carbon dioxide percent in off-gas(CO2outgas:%),PAA flow(Fpaa:PAA flow (L/h)),PAA concentration offline(PAA_offline:PAA (g L^{-1})),Oil flow(Foil:L/hr),NH_3 concentration off-line(NH3_offline:NH3 (g L^{-1})),Oxygen Uptake Rate(OUR:(g min^{-1})),Oxygen in percent in off-gas(O2:O2  (%)),Offline Penicillin concentration(P_offline:P(g L^{-1})),Offline Biomass concentratio(X_offline:X(g L^{-1})),Carbon evolution rate(CER:g/h),Ammonia shots(NH3_shots:kgs),Viscosity(Viscosity_offline:centPoise),Fault reference(Fault_ref:Fault ref),0 - Recipe driven 1 - Operator controlled(Control_ref:Control ref),1- No Raman spec, 1-Raman spec recorded,2-PAT control(PAT_ref:PAT ref),Batch reference(Batch_ref:Batch ref),Batch ID,Fault flag
1.0,30.0,100.0,8.0,0.5181,18.908,1.1045,0.0001,0.0,0.6,0.0,1.137,14.633,0.00099821,58501.0,62613.0,6.5825,298.09,1e-06,0.1103,5.0,1488.0,22.0,1667.8,-0.049975,0.20589,1.0178000000000001e-25,0.52808,0.041951,0.0,4.083,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
12.0,42.0,100.0,15.0,0.0,61.535,168.15,0.0001,0.0,0.6,0.0,0.15862,11.835,0.00096693,58691.0,63126.0,6.5002,298.04,1e-06,0.34413,0.0,1577.7,30.0,1791.4,0.93728,0.19184,0.00096956,2.8974,0.18335,0.0,10.792,0.0,0.0,1.0,1.0,1.0,0.0,21523.0,21661.0
24.0,55.0,100.0,150.0,0.0,225.0,226.68,0.0001,0.0,0.7,0.0,0.017054,9.8146,0.00091056,60408.0,65486.0,6.4661,298.03,34.356,0.71406,0.0,1289.8,35.0,1800.7,1.6293,0.18692,0.00091668,8.5233,0.49871,0.0,21.978,0.0,0.0,1.0,1.0,1.0,0.0,20677.0,20314.0
36.0,55.0,100.0,43.0,0.0,40.635,147.14,0.0001,0.0,0.9,0.0,0.002671,12.538,1.3316,61096.0,66677.0,6.5124,298.0,62.302,0.97862,0.0,874.46,35.0,1761.6,0.98151,0.19317,1.2134,12.164,0.68398,0.0,35.283,0.0,0.0,1.0,1.0,1.0,0.0,26823.0,26638.0
48.0,60.0,100.0,57.0,0.0,39.766,139.2,0.0001,0.0,1.1,0.0,0.0022198,12.947,3.4578,61944.0,68070.0,6.4924,298.04,71.878,1.1343,10.0,869.8,35.0,1835.4,1.1516,0.1921,3.299,15.306,0.86525,0.0,49.221,0.0,0.0,1.0,1.0,1.0,0.0,37854.0,37521.0
60.0,60.0,100.0,72.0,0.0,56.381,2.1596,0.11391,500.0,1.1,0.0,0.0016796,14.785,5.6316,68165.0,74866.0,6.4919,297.96,46.119,1.3594,10.0,1147.7,34.0,1857.7,0.95394,0.19352,5.4925,16.928,1.0377,0.0,40.596,0.0,0.0,1.0,1.0,1.0,0.0,48431.0,48617.0
72.0,60.0,100.0,84.0,0.0,79.993,9.7984,0.0001,500.0,1.1,0.0,0.0017874,15.491,7.6412,75700.0,83005.0,6.5079,298.0,60.183,1.5872,10.0,1343.5,31.0,1820.1,1.2414,0.19037,7.5105,17.879,1.2123,0.0,25.001,0.0,0.0,1.0,1.0,1.0,0.0,57267.0,57137.0
84.0,60.0,100.0,90.0,0.0,48.021,55.479,0.0001,100.0,1.1,0.0,0.0011453,14.883,9.8896,79821.0,87750.0,6.4802,297.98,51.143,1.8159,10.0,1437.4,23.0,1810.4,1.548,0.18703,9.7403,19.471,1.3879,0.0,25.919,0.0,0.0,1.0,1.0,1.0,0.0,68543.0,68599.0
96.0,75.0,100.0,90.0,0.0,52.426,53.829,0.0001,100.0,1.1,0.0,0.0011866,14.413,12.117,82436.0,90939.0,6.508,297.99,55.399,1.6,10.0,1533.4,23.0,1827.8,1.6222,0.18981,11.97,20.781,1.5277,0.0,34.541,0.0,0.0,1.0,1.0,1.0,0.0,78640.0,79216.0
108.0,75.0,100.0,90.0,0.0,53.694,56.331,0.0001,100.0,1.0,0.0,0.0012397,12.641,14.396,77913.0,86075.0,6.5033,298.0,59.965,1.6086,10.0,1594.1,23.0,1842.6,1.7175,0.18907,14.245,22.192,1.5359,0.0,43.193,0.0,0.0,1.0,1.0,1.0,0.0,90488.0,90917.0
120.0,75.0,100.0,90.0,0.0,52.157,49.507,0.0001,100.0,1.0,0.0,0.0011781,12.124,16.583,80504.0,89282.0,6.4984,298.03,71.207,1.7394,10.0,1631.2,23.0,1864.6,1.7401,0.18865,16.433,23.39,1.6615,0.0,51.881,0.0,0.0,1.0,1.0,1.0,0.0,100890.0,100670.0
132.0,75.0,100.0,90.0,0.0,37.782,44.117,0.0001,100.0,1.0,-4000.0,0.0012947,11.421,18.794,75985.0,84422.0,6.5347,298.01,62.129,1.7197,10.0,1614.8,23.0,1878.1,1.7149,0.18888,18.641,24.576,1.6425,0.0,60.502,0.0,0.0,1.0,1.0,1.0,0.0,110400.0,110700.0
144.0,75.0,100.0,90.0,0.0,65.18,19.111,0.0001,100.0,1.0,0.0,0.0011816,11.188,21.002,78617.0,87722.0,6.4871,298.0,59.119,1.8265,10.0,1608.0,23.0,1899.0,1.7195,0.18864,20.854,25.54,1.7451,0.0,68.963,0.0,0.0,1.0,1.0,1.0,0.0,121400.0,121390.0
156.0,75.0,100.0,90.0,0.0,138.76,64.533,0.0001,0.0,0.9,0.0,0.0015369,9.4323,23.376,73978.0,82773.0,6.5114,297.99,59.799,1.7687,10.0,1541.0,23.0,1912.2,1.7033,0.18887,23.217,26.475,1.6896,0.0,79.651,0.0,0.0,1.0,1.0,1.0,0.0,132190.0,132360.0
168.0,75.0,100.0,80.0,0.0,70.176,16.814,129.93,400.0,0.9,0.0,0.00092297,12.024,24.322,78830.0,88326.0,6.5057,298.17,128.64,1.8242,10.0,1719.1,23.0,1978.5,1.1075,0.19325,24.291,26.058,1.743,0.0,78.641,0.0,0.0,1.0,1.0,1.0,0.0,136660.0,137170.0
